10		10		10		10	
GK Grupp3 Versuch2001:10_UV		GK Grupp3 Versuch2001:10_Cond		GK Grupp3 Versuch2001:10_Pressure		GK Grupp3 Versuch2001:10_Fractions	
ml	 mAU	ml	 mS/cm	ml	 MPa	ml	(Fractions)
   0,000	   37,457000	   0,000	   19,487000	   0,000	    0,000000	   1,010	 "1"
   0,034	    0,169000	   0,035	   19,392000	   0,035	    0,520000	   7,120	 "2"
   0,068	    0,489000	   0,070	   19,321000	   0,070	    0,540000	   7,720	 "3"
   0,102	    3,172000	   0,105	   19,275000	   0,105	    0,520000	   7,960	 "4"
   0,136	    4,062000	   0,140	   19,237000	   0,140	    0,530000	   9,930	 "5"
   0,170	    2,952000	   0,175	   19,207000	   0,175	    0,550000	  10,530	 "6"
   0,204	    2,106000	   0,210	   19,179000	   0,210	    0,550000	  11,130	 "7"
   0,238	    1,487000	   0,245	   19,154000	   0,245	    0,580000	  11,730	 "8"
   0,272	    1,076000	   0,280	   19,131000	   0,280	    0,590000	  11,770	 "9"
   0,306	    0,767000	   0,315	   19,111000	   0,315	    0,600000	  18,770	 "10"
   0,340	    0,511000	   0,350	   19,091000	   0,350	    0,610000	  25,770	 "11"
   0,374	    0,284000	   0,385	   19,073000	   0,385	    0,620000	         	            
   0,408	    0,084000	   0,420	   19,056000	   0,420	    0,630000	         	            
   0,441	   -0,098000	   0,455	   19,040000	   0,455	    0,630000	         	            
   0,475	   -0,271000	   0,490	   19,025000	   0,490	    0,630000	         	            
   0,509	   -0,409000	   0,525	   19,011000	   0,525	    0,620000	         	            
   0,543	   -0,538000	   0,560	   18,997000	   0,560	    0,630000	         	            
   0,577	   -0,648000	   0,594	   18,984000	   0,594	    0,620000	         	            
   0,611	   -0,740000	   0,629	   18,974000	   0,629	    0,620000	         	            
   0,645	   -0,817000	   0,664	   18,965000	   0,664	    0,630000	         	            
   0,679	   -0,884000	   0,699	   18,956000	   0,699	    0,630000	         	            
   0,713	   -0,944000	   0,734	   18,948000	   0,734	    0,630000	         	            
   0,747	   -0,997000	   0,769	   18,940000	   0,769	    0,630000	         	            
   0,781	   -1,043000	   0,804	   18,934000	   0,804	    0,630000	         	            
   0,815	   -1,089000	   0,839	   18,927000	   0,839	    0,630000	         	            
   0,849	   -1,127000	   0,874	   18,921000	   0,874	    0,630000	         	            
   0,883	   -1,161000	   0,909	   18,915000	   0,909	    0,630000	         	            
   0,917	   -1,192000	   0,944	   18,909000	   0,944	    0,620000	         	            
   0,951	   -1,214000	   0,979	   18,902000	   0,979	    0,630000	         	            
   0,985	   -1,241000	   1,014	   18,897000	   1,014	    0,620000	         	            
   1,019	   -1,264000	   1,049	   18,891000	   1,049	    0,630000	         	            
   1,053	   -1,274000	   1,084	   18,886000	   1,084	    0,620000	         	            
   1,087	   -1,291000	   1,119	   18,880000	   1,119	    0,630000	         	            
   1,121	   -1,306000	   1,154	   18,875000	   1,154	    0,630000	         	            
   1,155	   -1,323000	   1,189	   18,870000	   1,189	    0,630000	         	            
   1,189	   -1,339000	   1,224	   18,866000	   1,224	    0,620000	         	            
   1,223	   -1,347000	   1,259	   18,862000	   1,259	    0,630000	         	            
   1,256	   -1,355000	   1,294	   18,858000	   1,294	    0,620000	         	            
   1,290	   -1,370000	   1,329	   18,853000	   1,329	    0,630000	         	            
   1,324	   -1,382000	   1,364	   18,851000	   1,364	    0,630000	         	            
   1,358	   -1,388000	   1,399	   18,847000	   1,399	    0,630000	         	            
   1,392	   -1,386000	   1,434	   18,844000	   1,434	    0,620000	         	            
   1,426	   -1,397000	   1,469	   18,841000	   1,469	    0,630000	         	            
   1,460	   -1,407000	   1,504	   18,839000	   1,504	    0,620000	         	            
   1,494	   -1,414000	   1,539	   18,836000	   1,539	    0,630000	         	            
   1,528	   -1,421000	   1,574	   18,834000	   1,574	    0,620000	         	            
   1,562	   -1,422000	   1,609	   18,830000	   1,609	    0,630000	         	            
   1,596	   -1,426000	   1,644	   18,828000	   1,644	    0,620000	         	            
   1,630	   -1,432000	   1,679	   18,825000	   1,679	    0,630000	         	            
   1,664	   -1,434000	   1,714	   18,823000	   1,714	    0,630000	         	            
   1,698	   -1,441000	   1,748	   18,821000	   1,748	    0,620000	         	            
   1,732	   -1,447000	   1,783	   18,819000	   1,783	    0,630000	         	            
   1,766	   -1,449000	   1,818	   18,817000	   1,818	    0,630000	         	            
   1,800	   -1,449000	   1,853	   18,815000	   1,853	    0,630000	         	            
   1,834	   -1,454000	   1,888	   18,813000	   1,888	    0,630000	         	            
   1,868	   -1,456000	   1,923	   18,811000	   1,923	    0,630000	         	            
   1,902	   -1,457000	   1,958	   18,810000	   1,958	    0,630000	         	            
   1,936	   -1,460000	   1,993	   18,809000	   1,993	    0,620000	         	            
   1,970	   -1,466000	   2,028	   18,808000	   2,028	    0,630000	         	            
   2,004	   -1,468000	   2,063	   18,808000	   2,063	    0,620000	         	            
   2,038	   -1,465000	   2,098	   18,808000	   2,098	    0,620000	         	            
   2,072	   -1,467000	   2,133	   18,808000	   2,133	    0,620000	         	            
   2,105	   -1,468000	   2,168	   18,808000	   2,168	    0,630000	         	            
   2,139	   -1,468000	   2,203	   18,808000	   2,203	    0,620000	         	            
   2,173	   -1,472000	   2,238	   18,809000	   2,238	    0,620000	         	            
   2,207	   -1,473000	   2,273	   18,809000	   2,273	    0,610000	         	            
   2,241	   -1,473000	   2,308	   18,809000	   2,308	    0,630000	         	            
   2,275	   -1,479000	   2,343	   18,809000	   2,343	    0,620000	         	            
